Dataset_ID,Dataset_name,No_samples,Category_of_biomarker_study,Study_design,Mode_of_patient_enrollment,Organ,Disease,Tissue_type,Clinical_outcome,Type_of_clinical_outcome,Geographic_area,Country,Major_patient_ethnicity,Time_scale,Median_follow_up_time,Clinical_and_molecular_variables,Reference_PMID,Assay_platform_ID,Sample_storage_method,Accession_in_public_database,Public_access_to_genomic_data,Public_access_to_clinical_data,Note
COC000001,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_LIVER_EARLY_RECURRENCE,82,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Early recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,2.9 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10140,Y,N,-
COC000002,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_LIVER_LATE_RECURRENCE,82,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Late recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,2.9 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10140,Y,N,-
COC000003,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_LIVER_RECURRENCE,82,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,2.9 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10140,Y,N,-
COC000004,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_LIVER_SURVIVAL,82,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Survival,time-to-event,Eastern Asia,Japan,Asian,Year,7.8 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10140,Y,Y,-
COC000005,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_TUMOR_EARLY_RECURRENCE,80,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Early recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,2.8 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10141,Y,N,-
COC000006,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_TUMOR_LATE_RECURRENCE,80,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Late recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,2.8 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10141,Y,N,-
COC000007,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_TUMOR_RECURRENCE,80,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,2.8 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10141,Y,N,-
COC000008,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_TUMOR_SURVIVAL,80,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Survival,time-to-event,Eastern Asia,Japan,Asian,Year,7.9 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10141,Y,Y,-
COC000009,HOSHIDA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_LIVER_EARLY_RECURRENCE,225,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Early recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,1.5 years,None,18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10142,Y,N,-
COC000010,HOSHIDA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_LIVER_LATE_RECURRENCE,225,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Late recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,1.5 years,None,18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10142,Y,N,-
