Gene_symbol	ProbeID_or_any_other_identifier	Markers_of_class1_or_class2	Weight_value__This_column_is_optional
FSHB	DAP1_5052	1	4.8
SH3GL2	DAP1_0153	1	4.21
RBM34	DAP1_2390	1	4.19
BRRN1	DAP3_3833	1	4.02
EGF	DAP1_0623	1	3.97
TRIO	DAP1_5926	1	3.9
COL6A3	DAP3_3842	1	3.87
ABLIM1	DAP1_0171	1	3.86
ITGA9	DAP3_0607	1	3.81
NTS	DAP4_5449	1	3.78
SERPINB2	DAP3_1324	1	3.69
MMP7	DAP3_1228	1	3.59
PRKG2	DAP3_4010	1	3.44
EDG4	DAP4_1888	1	3.4
NOS2A	DAP3_0208	1	3.33
EPHA4	DAP1_4004	1	3.25
SP100	DAP4_2216	1	3.19
FMO1	DAP2_0010	1	3.04
GPX2	DAP3_2729	1	3.02
ATP4B	DAP3_5508	1	2.99
IER3	DAP1_5176	1	2.98
WASPIP	DAP4_5988	1	2.98
IGFBP6	DAP1_3877	1	2.93
CTNND2	DAP1_0897	1	2.92
FBN1	DAP3_5371	1	2.91
GBA	DAP4_5022	1	2.85
ICK	DAP1_4874	1	2.85
CHERP	DAP1_3085	1	2.81
HDAC9	DAP3_3881	1	2.81
NOL7	DAP3_1658	1	2.8
IQGAP1	DAP3_0609	1	2.79
ADD3	DAP3_3158	1	2.79
ANXA3	DAP3_3933	1	2.78
HMG20B	DAP2_5915	1	2.76
SLC12A2	DAP1_0174	1	2.75
COL4A1	DAP2_3448	1	2.75
CPA3	DAP4_3126	1	2.74
KRT7	DAP3_1093	1	2.74
SERPINB8	DAP1_1741	1	2.69
NFKB2	DAP3_1042	1	2.67
AEBP1	DAP3_5816	1	2.67
TGFB1I1	DAP3_3879	1	2.66
EMP2	DAP1_0509	1	2.63
BCL2	DAP2_3497	1	2.63
PSMB9	DAP3_2152	1	2.59
ACTR2	DAP3_6062	1	2.59
DDR1	DAP1_6137	1	2.58
SLC7A1	DAP2_3913	1	2.56
PODXL	DAP4_2003	1	2.56
COL16A1	DAP1_5750	1	2.55
IFI30	DAP1_3284	1	2.55
EPM2AIP1	DAP3_1596	1	2.55
